Period,Trip Purpose,Type of tourist,Tourists,Frequency
2015,Religious,Inbound,1188.6809566989714,Annual
2015,Leisure,Inbound,269.8304499705885,Annual
2015,Business,Inbound,21.932781379414003,Annual
2015,Visiting Friends & Relatives,Inbound,476.286009790692,Annual
2015,Other,Inbound,290.3785186082841,Annual
2015,Religious,Inbound,1102.4058608603243,Annual
2015,Leisure,Inbound,174.0804822284337,Annual
2015,Business,Inbound,40.23849895625202,Annual
2015,Visiting Friends & Relatives,Inbound,242.36035931114907,Annual
2015,Other,Inbound,145.16214172446698,Annual
2015,Religious,Inbound,978.1012836165688,Annual
2015,Leisure,Inbound,138.82422350112782,Annual
2015,Business,Inbound,35.979820235026,Annual
2015,Visiting Friends & Relatives,Inbound,208.49554965331663,Annual
2015,Other,Inbound,171.86539006941075,Annual
2015,Religious,Inbound,911.9304063655036,Annual
2015,Leisure,Inbound,93.75313782439989,Annual
2015,Business,Inbound,11.399366830000004,Annual
2015,Visiting Friends & Relatives,Inbound,205.23278434672,Annual
2015,Other,Inbound,351.7082588511998,Annual
2015,Religious,Inbound,589.1222189912882,Annual
2015,Leisure,Inbound,111.26075411,Annual
2015,Business,Inbound,179.00686858814723,Annual
2015,Visiting Friends & Relatives,Inbound,253.9346836688721,Annual
2015,Other,Inbound,263.0437722978432,Annual
2015,Religious,Inbound,702.359865867405,Annual
2015,Leisure,Inbound,99.99062135,Annual
2015,Business,Inbound,289.3951149854083,Annual
2015,Visiting Friends & Relatives,Inbound,263.1318773879453,Annual
2015,Other,Inbound,179.7502883522402,Annual
2015,Religious,Inbound,570.4402969522005,Annual
2015,Leisure,Inbound,113.68139035200022,Annual
2015,Business,Inbound,192.44654227543967,Annual
2015,Visiting Friends & Relatives,Inbound,247.9168165175,Annual
2015,Other,Inbound,223.92808366490016,Annual
2015,Religious,Inbound,156.19803093502827,Annual
2015,Leisure,Inbound,112.95437789590008,Annual
2015,Business,Inbound,198.0162178679001,Annual
2015,Visiting Friends & Relatives,Inbound,380.9273749047805,Annual
2015,Other,Inbound,208.04345903745968,Annual
2015,Religious,Inbound,1406.021823878108,Annual
2015,Leisure,Inbound,135.0750682091996,Annual
2015,Business,Inbound,165.67850532170002,Annual
2015,Visiting Friends & Relatives,Inbound,202.22806612399995,Annual
2015,Other,Inbound,163.7463635064,Annual
2015,Religious,Inbound,8.394944467460999,Annual
2015,Leisure,Inbound,110.24034736096704,Annual
2015,Business,Inbound,224.785554646364,Annual
2015,Visiting Friends & Relatives,Inbound,274.4126130374917,Annual
2015,Other,Inbound,151.536232127674,Annual
2015,Religious,Inbound,184.11434270219647,Annual
2015,Leisure,Inbound,90.01609479585404,Annual
2015,Business,Inbound,253.37768158750364,Annual
2015,Visiting Friends & Relatives,Inbound,271.0073724846415,Annual
2015,Other,Inbound,112.67952083507816,Annual
2015,Religious,Inbound,1016.0025672686938,Annual
2015,Leisure,Inbound,110.95811632332097,Annual
2015,Business,Inbound,268.3184994379316,Annual
2015,Visiting Friends & Relatives,Inbound,320.91293851729097,Annual
2015,Other,Inbound,130.52436917217216,Annual
2016,Religious,Inbound,989.9198562712876,Annual
2016,Leisure,Inbound,150.81692791817807,Annual
2016,Business,Inbound,278.773271654485,Annual
2016,Visiting Friends & Relatives,Inbound,301.7667654728041,Annual
2016,Other,Inbound,175.16491869365015,Annual
2016,Religious,Inbound,873.1949891989599,Annual
2016,Leisure,Inbound,168.0063002127311,Annual
2016,Business,Inbound,562.8427287367358,Annual
2016,Visiting Friends & Relatives,Inbound,389.8393930940168,Annual
2016,Other,Inbound,349.5972707717072,Annual
2016,Religious,Inbound,1064.5912820068438,Annual
2016,Leisure,Inbound,101.12619736848696,Annual
2016,Business,Inbound,287.9088208413314,Annual
2016,Visiting Friends & Relatives,Inbound,195.5579979429116,Annual
2016,Other,Inbound,59.927250956755024,Annual
2016,Religious,Inbound,967.4906831611528,Annual
2016,Leisure,Inbound,85.11223174314685,Annual
2016,Business,Inbound,289.7974098914256,Annual
2016,Visiting Friends & Relatives,Inbound,185.78826607287263,Annual
2016,Other,Inbound,51.37909906896195,Annual
2016,Religious,Inbound,739.6606252690071,Annual
2016,Leisure,Inbound,86.30365371930108,Annual
2016,Business,Inbound,342.439278592297,Annual
2016,Visiting Friends & Relatives,Inbound,279.58584689562326,Annual
2016,Other,Inbound,58.713795149102005,Annual
2016,Religious,Inbound,918.7213283821962,Annual
2016,Leisure,Inbound,119.5596158035452,Annual
2016,Business,Inbound,274.2194309338428,Annual
2016,Visiting Friends & Relatives,Inbound,283.95096461660273,Annual
2016,Other,Inbound,113.45423533902316,Annual
2016,Religious,Inbound,32.343919937248025,Annual
2016,Leisure,Inbound,94.485969725476,Annual
2016,Business,Inbound,273.8700386933496,Annual
2016,Visiting Friends & Relatives,Inbound,325.81123989714683,Annual
2016,Other,Inbound,86.29810128476198,Annual
2016,Religious,Inbound,48.950208526357954,Annual
2016,Leisure,Inbound,114.04054983634798,Annual
2016,Business,Inbound,250.6938048078064,Annual
2016,Visiting Friends & Relatives,Inbound,492.68641860711057,Annual
2016,Other,Inbound,79.72842534221711,Annual
2016,Religious,Inbound,1327.4026045497665,Annual
2016,Leisure,Inbound,104.02021674675714,Annual
2016,Business,Inbound,225.3909113645274,Annual
2016,Visiting Friends & Relatives,Inbound,267.04291870584257,Annual
2016,Other,Inbound,46.591066559318016,Annual
2016,Religious,Inbound,14.481912320365009,Annual
2016,Leisure,Inbound,75.25275944430017,Annual
2016,Business,Inbound,170.2238766174588,Annual
2016,Visiting Friends & Relatives,Inbound,165.39197997925837,Annual
2016,Other,Inbound,36.819382844353015,Annual
2016,Religious,Inbound,390.4375473074557,Annual
2016,Leisure,Inbound,64.48618425287994,Annual
2016,Business,Inbound,189.1325049916312,Annual
2016,Visiting Friends & Relatives,Inbound,165.57374596789367,Annual
2016,Other,Inbound,37.00778166731899,Annual
2016,Religious,Inbound,892.472869348567,Annual
2016,Leisure,Inbound,97.61149206161912,Annual
2016,Business,Inbound,861.2151646362316,Annual
2016,Visiting Friends & Relatives,Inbound,233.8539925170082,Annual
