Period,Type of tourist,Overnight Stays,Frequency
2015,Inbound,22786.205665265603,Annual
2015,Domestic,23103.7101914704,Annual
2015,Inbound,18623.35731945754,Annual
2015,Domestic,20036.521049252835,Annual
2015,Inbound,14684.55187214604,Annual
2015,Domestic,18428.539995973857,Annual
2015,Inbound,16834.418142298917,Annual
2015,Domestic,15996.654929859436,Annual
2015,Inbound,12500.28367857228,Annual
2015,Domestic,15393.351631445688,Annual
2015,Inbound,15701.7253334418,Annual
2015,Domestic,20978.399156447,Annual
2015,Inbound,12010.469272861805,Annual
2015,Domestic,27078.511927881795,Annual
2015,Inbound,8584.093515359249,Annual
2015,Domestic,26328.98523202569,Annual
2015,Inbound,35419.75782502206,Annual
2015,Domestic,26410.80071121541,Annual
2015,Inbound,7463.979901476848,Annual
2015,Domestic,18064.62225925607,Annual
2015,Inbound,8294.34737732058,Annual
2015,Domestic,14663.950027068457,Annual
2015,Inbound,20181.06792078852,Annual
2015,Domestic,14368.70841593242,Annual
2016,Inbound,18008.97710070981,Annual
2016,Domestic,21594.08775740324,Annual
2016,Inbound,21859.63675834549,Annual
2016,Domestic,15055.211874366016,Annual
2016,Inbound,17462.76296972314,Annual
2016,Domestic,18179.18628742399,Annual
2016,Inbound,16778.40015545339,Annual
2016,Domestic,16098.500151429298,Annual
2016,Inbound,14495.62749492617,Annual
2016,Domestic,18115.79687937386,Annual
2016,Inbound,14601.601734619053,Annual
2016,Domestic,19868.09906461898,Annual
2016,Inbound,5935.718888184186,Annual
2016,Domestic,28596.538659481143,Annual
2016,Inbound,12148.475327173594,Annual
2016,Domestic,20920.275723140054,Annual
2016,Inbound,38270.18835857082,Annual
2016,Domestic,20518.75817438883,Annual
2016,Inbound,2850.6251760418863,Annual
2016,Domestic,16398.581518749255,Annual
2016,Inbound,6204.932652009702,Annual
2016,Domestic,23410.395217347017,Annual
2016,Inbound,18608.0060661349,Annual
2016,Domestic,17048.12106746104,Annual
2017,Inbound,12736.129023213753,Annual
2017,Domestic,23063.19137677553,Annual
2017,Inbound,12704.661760697229,Annual
2017,Domestic,16016.95575008598,Annual
2017,Inbound,15686.306358188804,Annual
2017,Domestic,18791.6647046688,Annual
2017,Inbound,16344.981117723948,Annual
2017,Domestic,15192.047001832836,Annual
2017,Inbound,15194.90666494746,Annual
2017,Domestic,12718.430724673612,Annual
2017,Inbound,12114.143155450747,Annual
2017,Domestic,22021.01300491758,Annual
2017,Inbound,2129.687912092609,Annual
2017,Domestic,22464.51772317906,Annual
2017,Inbound,3346.4719843924254,Annual
2017,Domestic,24976.804298976025,Annual
2017,Inbound,45880.52960840688,Annual
2017,Domestic,21941.243147616555,Annual
2017,Inbound,5633.387637679932,Annual
2017,Domestic,15188.835960742346,Annual
2017,Inbound,17679.06626497401,Annual
2017,Domestic,16718.6751848924,Annual
2017,Inbound,11585.52646400548,Annual
2017,Domestic,15119.04661310953,Annual
2018,Inbound,11257.0884258302,Annual
2018,Domestic,23886.37423717159,Annual
2018,Inbound,9666.610830744465,Annual
2018,Domestic,15850.235625679234,Annual
2018,Inbound,17042.65477709792,Annual
2018,Domestic,18823.75879012773,Annual
2018,Inbound,14069.153655649923,Annual
2018,Domestic,15045.310021339776,Annual
2018,Inbound,16287.25330631445,Annual
2018,Domestic,9831.481331653948,Annual
2018,Inbound,9302.245342930755,Annual
2018,Domestic,25969.107936448552,Annual
2018,Inbound,3332.0404230844224,Annual
2018,Domestic,19158.78335801362,Annual
2018,Inbound,49562.42073584668,Annual
2018,Domestic,27605.77882659453,Annual
2018,Inbound,2719.582450032149,Annual
2018,Domestic,23442.46600875756,Annual
2018,Inbound,8850.263804153932,Annual
2018,Domestic,18975.19065155561,Annual
2018,Inbound,14707.22641216126,Annual
2018,Domestic,16550.01618475703,Annual
2018,Inbound,17132.44399940087,Annual
2018,Domestic,16983.59748304747,Annual
2019,Inbound,14338.846673861675,Annual
2019,Domestic,22154.46249039915,Annual
2019,Inbound,13384.574806023324,Annual
2019,Domestic,14763.315169570127,Annual
2019,Inbound,16687.69789752794,Annual
2019,Domestic,17456.725486101866,Annual
2019,Inbound,15235.674705065834,Annual
2019,Domestic,14482.595338310812,Annual
2019,Inbound,19756.8339189734,Annual
2019,Domestic,14586.24234911049,Annual
2019,Inbound,6897.628869800578,Annual
2019,Domestic,25514.594037669616,Annual
2019,Inbound,4856.827662625198,Annual
2019,Domestic,22879.497990406908,Annual
2019,Inbound,52342.36027186458,Annual
2019,Domestic,33676.19101950924,Annual
2019,Inbound,4103.579530940215,Annual
2019,Domestic,25222.54549695093,Annual
2019,Inbound,11081.144435124685,Annual
2019,Domestic,23486.52689292712,Annual
2019,Inbound,13247.155679674885,Annual
2019,Domestic,26955.23328807592,Annual
2019,Inbound,17103.360236254994,Annual
2019,Domestic,27572.57524319802,Annual
2020,Inbound,16211.00780310028,Annual
2020,Domestic,24327.02415945393,Annual
2020,Inbound,15527.65952930518,Annual
2020,Domestic,16241.41585466288,Annual
2020,Inbound,1296.1865612925192,Annual
2020,Domestic,16101.799689760162,Annual
2020,Inbound,71.41500170885521,Annual
2020,Domestic,394.7258057679608,Annual
2020,Inbound,49.171653130420616,Annual
2020,Domestic,151.5890537239245,Annual
2020,Inbound,99.29766610342767,Annual
2020,Domestic,6894.742897909432,Annual
2020,Inbound,125.22793478747846,Annual
2020,Domestic,32284.86998161979,Annual
2020,Inbound,180.938973581268,Annual
2020,Domestic,35782.01014464493,Annual
2020,Inbound,364.3898512931458,Annual
2020,Domestic,24547.532458021084,Annual
2020,Inbound,1086.0971169435252,Annual
2020,Domestic,21776.5166443243,Annual
2020,Inbound,1333.1551561955278,Annual
2020,Domestic,22097.561487229155,Annual
2020,Inbound,1479.677742279909,Annual
2020,Domestic,27938.414700004745,Annual
2021,Inbound,2342.151,Annual
2021,Domestic,30553.419,Annual
2021,Inbound,1250.771,Annual
2021,Domestic,21794.021,Annual
2021,Inbound,1136.27,Annual
2021,Domestic,22466.082,Annual
2021,Inbound,1393.891,Annual
2021,Domestic,22860.204,Annual
2021,Inbound,1186.067,Annual
2021,Domestic,45029.407,Annual
2021,Inbound,1174.27,Annual
2021,Domestic,26069.288,Annual
2021,Inbound,1721.568,Annual
2021,Domestic,59879.539,Annual
