Month,Forecast,Lower,Upper
2025-01,12307.0,10664.0,13969.0
2025-02,10628.0,9022.0,12301.0
2025-03,10812.0,9146.0,12422.0
2025-04,10074.0,8509.0,11662.0
2025-05,8964.0,7237.0,10622.0
2025-06,11238.0,9536.0,12807.0
2025-07,11832.0,10251.0,13522.0
2025-08,11124.0,9507.0,12770.0
2025-09,9846.0,8016.0,11391.0
2025-10,9561.0,7914.0,11131.0
2025-11,11710.0,10088.0,13380.0
2025-12,10798.0,9203.0,12477.0
2026-01,13680.0,11938.0,15330.0
2026-02,11797.0,10188.0,13355.0
2026-03,11963.0,10328.0,13516.0
2026-04,11180.0,9532.0,12805.0
2026-05,9927.0,8349.0,11695.0
2026-06,12458.0,10700.0,14131.0
2026-07,13063.0,11361.0,14719.0
2026-08,12290.0,10799.0,13899.0
2026-09,10831.0,9094.0,12415.0
2026-10,10550.0,8863.0,12190.0
2026-11,12905.0,11223.0,14546.0
2026-12,11897.0,10321.0,13537.0
