Year,Trip Purpose,Expenditure
2014,Religious,31372000000
2015,Religious,47765821026
2016,Religious,54090577861
2017,Religious,70909143514
2018,Religious,68837791922
2019,Religious,68077020230
2020,Religious,11101690376
2021,Religious,1783000000
2022,Religious,37255000000
2014,Leisure,2127000000
2015,Leisure,4954068164
2016,Leisure,2880576356
2017,Leisure,1703458125
2018,Leisure,1991235947
2019,Leisure,5048877120
2020,Leisure,1933510816
2021,Leisure,1267000000
2022,Leisure,12622000000
2014,Business,8947000000
2015,Business,10090826436
2016,Business,26279827607
2017,Business,18382194483
2018,Business,16484486698
2019,Business,20421316680
2020,Business,3392369816
2021,Business,5286000000
2022,Business,14318000000
2014,Visiting Friends & Relatives,4805000000
2015,Visiting Friends & Relatives,10621886280
2016,Visiting Friends & Relatives,7064639382
2017,Visiting Friends & Relatives,5687097478
2018,Visiting Friends & Relatives,5245899084
2019,Visiting Friends & Relatives,7772778656
2020,Visiting Friends & Relatives,2475022214
2021,Visiting Friends & Relatives,4561000000
2022,Visiting Friends & Relatives,22869000000
2014,Other,6037000000
2015,Other,9067180027
2016,Other,3107213438
2017,Other,1096515514
2018,Other,918220109.9
2019,Other,2033873808
2020,Other,1198147770
2021,Other,1818000000
2022,Other,3797000000
