"Year","Trip Purpose","Type of tourist","Tourists"
2015,"Religious","Domestic",1194.9676208134308
2015,"Leisure","Domestic",1854.2667579440429
2015,"Business","Domestic",169.0236211482206
2015,"Visiting Friends & Relatives","Domestic",1380.9246479383783
2015,"Other","Domestic",224.151901065102
2015,"Religious","Domestic",952.7437839168152
2015,"Leisure","Domestic",1620.4875174495578
2015,"Business","Domestic",165.28032362650288
2015,"Visiting Friends & Relatives","Domestic",1185.0848427470935
2015,"Other","Domestic",216.5060698735325
2015,"Religious","Domestic",934.119102683303
2015,"Leisure","Domestic",1674.9319897445332
2015,"Business","Domestic",178.1880451252969
2015,"Visiting Friends & Relatives","Domestic",851.6545131146521
2015,"Other","Domestic",220.65816298856967
2015,"Religious","Domestic",674.5811866104121
2015,"Leisure","Domestic",1592.9229921286492
2015,"Business","Domestic",202.92365113871497
2015,"Visiting Friends & Relatives","Domestic",895.586948165579
2015,"Other","Domestic",173.21071656945253
2015,"Religious","Domestic",726.2381913841149
2015,"Leisure","Domestic",1410.8670673516856
2015,"Business","Domestic",201.9852534621413
2015,"Visiting Friends & Relatives","Domestic",768.9967694382442
2015,"Other","Domestic",224.41563800494242
2015,"Religious","Domestic",1209.5104446406967
2015,"Leisure","Domestic",1253.0423065566276
2015,"Business","Domestic",144.58226309543167
2015,"Visiting Friends & Relatives","Domestic",678.3990357407453
2015,"Other","Domestic",104.09355872217867
2015,"Religious","Domestic",1630.6248154982197
2015,"Leisure","Domestic",1665.7925780519522
2015,"Business","Domestic",172.83226678669556
2015,"Visiting Friends & Relatives","Domestic",1055.7871193987794
2015,"Other","Domestic",152.03207551562193
2015,"Religious","Domestic",942.3087232296791
2015,"Leisure","Domestic",2081.34858045631
2015,"Business","Domestic",131.5982619223017
2015,"Visiting Friends & Relatives","Domestic",848.4780424079955
2015,"Other","Domestic",251.29050819120982
2015,"Religious","Domestic",1360.0905797356934
2015,"Leisure","Domestic",1796.7524967238023
2015,"Business","Domestic",149.98608570109923
2015,"Visiting Friends & Relatives","Domestic",991.888395251704
2015,"Other","Domestic",195.07961286158667
2015,"Religious","Domestic",671.266091836599
2015,"Leisure","Domestic",1571.273526212275
2015,"Business","Domestic",117.10722272929591
2015,"Visiting Friends & Relatives","Domestic",898.1495339903038
2015,"Other","Domestic",234.4722693841338
2015,"Religious","Domestic",842.3645291531981
2015,"Leisure","Domestic",1398.767962885604
2015,"Business","Domestic",98.78225683989861
2015,"Visiting Friends & Relatives","Domestic",858.6010685077993
2015,"Other","Domestic",156.9103879284553
2015,"Religious","Domestic",833.6610802867291
2015,"Leisure","Domestic",1261.3377486730176
2015,"Business","Domestic",127.46224372253634
2015,"Visiting Friends & Relatives","Domestic",687.5341191060015
2015,"Other","Domestic",182.50745429371298
2016,"Religious","Domestic",1094.8293662648168
2016,"Leisure","Domestic",878.5548010770458
2016,"Business","Domestic",144.32560729645624
2016,"Visiting Friends & Relatives","Domestic",564.8534051168884
2016,"Other","Domestic",1920.0517797243315
2016,"Religious","Domestic",983.1427126687888
2016,"Leisure","Domestic",1128.6340318371076
2016,"Business","Domestic",98.69314354424564
2016,"Visiting Friends & Relatives","Domestic",942.5033011986768
2016,"Other","Domestic",150.62971802434473
2016,"Religious","Domestic",846.8563942377319
2016,"Leisure","Domestic",1727.4369049235427
2016,"Business","Domestic",142.35829666276135
2016,"Visiting Friends & Relatives","Domestic",948.3155891692072
2016,"Other","Domestic",82.71070431282118
2016,"Religious","Domestic",816.9781342270594
2016,"Leisure","Domestic",1374.3928669193615
2016,"Business","Domestic",113.80097220425345
2016,"Visiting Friends & Relatives","Domestic",780.7307926614292
2016,"Other","Domestic",45.738071917749636
2016,"Religious","Domestic",820.4513921153579
2016,"Leisure","Domestic",1529.4542624201079
2016,"Business","Domestic",123.03241037306213
2016,"Visiting Friends & Relatives","Domestic",797.4161057959654
2016,"Other","Domestic",17.663249806103806
2016,"Religious","Domestic",1315.7457735204864
2016,"Leisure","Domestic",1228.3417737316045
2016,"Business","Domestic",130.16642270718728
2016,"Visiting Friends & Relatives","Domestic",724.3598846668959
2016,"Other","Domestic",25.106373843541736
2016,"Religious","Domestic",1090.9636294585698
2016,"Leisure","Domestic",1941.8610386791486
2016,"Business","Domestic",109.43236343620754
2016,"Visiting Friends & Relatives","Domestic",1279.3376794812311
2016,"Other","Domestic",38.327386251662155
2016,"Religious","Domestic",844.3629868947511
2016,"Leisure","Domestic",1718.0695622148044
2016,"Business","Domestic",99.91358542765121
2016,"Visiting Friends & Relatives","Domestic",859.1908996547234
2016,"Other","Domestic",54.89577520713309
2016,"Religious","Domestic",1244.2070634947802
2016,"Leisure","Domestic",1519.0739062004222
2016,"Business","Domestic",71.85938567871301
2016,"Visiting Friends & Relatives","Domestic",1062.0998045904437
2016,"Other","Domestic",39.6271402464923
2016,"Religious","Domestic",863.6166622105984
2016,"Leisure","Domestic",1385.8530420263342
2016,"Business","Domestic",98.93136426841336
2016,"Visiting Friends & Relatives","Domestic",888.6408779909656
2016,"Other","Domestic",87.64687287769759
2016,"Religious","Domestic",1073.1799054614514
2016,"Leisure","Domestic",1979.4611494826945
2016,"Business","Domestic",96.97966435398347
2016,"Visiting Friends & Relatives","Domestic",1285.788574932422
2016,"Other","Domestic",159.33271162468904
2016,"Religious","Domestic",760.0556456399878
2016,"Leisure","Domestic",1643.4007887914124
2016,"Business","Domestic",127.33282624332874
2016,"Visiting Friends & Relatives","Domestic",1015.271756393119
2016,"Other","Domestic",100.49610939004151
2017,"Religious","Domestic",1086.515982581578
2017,"Leisure","Domestic",2053.33885352686
2017,"Business","Domestic",138.97519444484882
