"Month","Trip Purpose","Type of tourist","Tourists"
"2015-01","Religious","Inbound",1188.6809566989714
"2015-01","Leisure","Inbound",269.8304499705885
"2015-01","Business","Inbound",21.932781379414003
"2015-01","Visiting Friends & Relatives","Inbound",476.286009790692
"2015-01","Other","Inbound",290.3785186082841
"2015-02","Religious","Inbound",1102.4058608603245
"2015-02","Leisure","Inbound",174.0804822284337
"2015-02","Business","Inbound",40.23849895625202
"2015-02","Visiting Friends & Relatives","Inbound",242.36035931114907
"2015-02","Other","Inbound",145.16214172446698
"2015-03","Religious","Inbound",978.1012836165687
"2015-03","Leisure","Inbound",138.82422350112782
"2015-03","Business","Inbound",35.979820235026
"2015-03","Visiting Friends & Relatives","Inbound",208.49554965331666
"2015-03","Other","Inbound",171.86539006941075
"2015-04","Religious","Inbound",911.9304063655036
"2015-04","Leisure","Inbound",93.75313782439987
"2015-04","Business","Inbound",11.399366830000005
"2015-04","Visiting Friends & Relatives","Inbound",205.23278434671997
"2015-04","Other","Inbound",351.7082588511998
"2015-05","Religious","Inbound",589.1222189912882
"2015-05","Leisure","Inbound",111.26075411
"2015-05","Business","Inbound",179.00686858814723
"2015-05","Visiting Friends & Relatives","Inbound",253.9346836688721
"2015-05","Other","Inbound",263.0437722978432
"2015-06","Religious","Inbound",702.359865867405
"2015-06","Leisure","Inbound",99.99062135000001
"2015-06","Business","Inbound",289.3951149854083
"2015-06","Visiting Friends & Relatives","Inbound",263.1318773879453
"2015-06","Other","Inbound",179.7502883522402
"2015-07","Religious","Inbound",570.4402969522005
"2015-07","Leisure","Inbound",113.68139035200022
"2015-07","Business","Inbound",192.44654227543967
"2015-07","Visiting Friends & Relatives","Inbound",247.91681651750002
"2015-07","Other","Inbound",223.92808366490016
"2015-08","Religious","Inbound",156.19803093502827
"2015-08","Leisure","Inbound",112.95437789590007
"2015-08","Business","Inbound",198.01621786790014
"2015-08","Visiting Friends & Relatives","Inbound",380.92737490478044
"2015-08","Other","Inbound",208.04345903745966
"2015-09","Religious","Inbound",1406.0218238781079
"2015-09","Leisure","Inbound",135.0750682091996
"2015-09","Business","Inbound",165.67850532170002
"2015-09","Visiting Friends & Relatives","Inbound",202.22806612399995
"2015-09","Other","Inbound",163.7463635064
"2015-10","Religious","Inbound",8.394944467460999
"2015-10","Leisure","Inbound",110.24034736096705
"2015-10","Business","Inbound",224.78555464636398
"2015-10","Visiting Friends & Relatives","Inbound",274.4126130374917
"2015-10","Other","Inbound",151.536232127674
"2015-11","Religious","Inbound",184.11434270219655
"2015-11","Leisure","Inbound",90.01609479585404
"2015-11","Business","Inbound",253.37768158750364
"2015-11","Visiting Friends & Relatives","Inbound",271.0073724846415
"2015-11","Other","Inbound",112.67952083507816
"2015-12","Religious","Inbound",1016.0025672686938
"2015-12","Leisure","Inbound",110.95811632332095
"2015-12","Business","Inbound",268.31849943793156
"2015-12","Visiting Friends & Relatives","Inbound",320.91293851729097
"2015-12","Other","Inbound",130.52436917217216
"2016-01","Religious","Inbound",989.9198562712875
"2016-01","Leisure","Inbound",150.81692791817807
"2016-01","Business","Inbound",278.773271654485
"2016-01","Visiting Friends & Relatives","Inbound",301.7667654728041
"2016-01","Other","Inbound",175.16491869365015
"2016-02","Religious","Inbound",873.1949891989599
"2016-02","Leisure","Inbound",168.0063002127311
"2016-02","Business","Inbound",562.8427287367358
"2016-02","Visiting Friends & Relatives","Inbound",389.83939309401677
"2016-02","Other","Inbound",349.5972707717072
